Permissionaria;Autos;TC;Denominacao_da_linha;caracteristica
EMPRESA AUTO ÔNIBUS SÃO JORGE LTDA;8146;2;IPERO - BOITUVA;Semiurbana
VALLESUL TRANSPORTES E TURISMO LTDA;8153;5;REGISTRO - ELDORADO;Rodoviária Convencional
VALLESUL TRANSPORTES E TURISMO LTDA;8159;5;REGISTRO - PARIQUERA-ACU;Rodoviária Litorânea
PORTO DE REGISTRO TRANSPORTES LTDA;8161;5;REGISTRO - CAJATI;Semiurbana
PORTO DE REGISTRO TRANSPORTES LTDA;8162;5;REGISTRO - CAJATI;Semiurbana
VALLESUL TRANSPORTES E TURISMO LTDA;8163;5;SÃO PAULO(BARRA FUNDA) - REGISTRO;Rodoviária Convencional
VALLESUL TRANSPORTES E TURISMO LTDA;8164;5;SÃO PAULO(BARRA FUNDA) - CAJATI;Rodoviária Convencional
VALLESUL TRANSPORTES E TURISMO LTDA;8165;5;REGISTRO - MIRACATU;Semiurbana
RAPIDO LUXO CAMPINAS LTDA;8166;1;ITUPEVA - JUNDIAI;Semiurbana
VIAÇÃO LUWASA LTDA;8168;4;CATANDUVA - LINS;Rodoviária Convencional
VIAÇÃO COMETA S/A;8169;5;CAMPINAS - ARARAQUARA;Rodoviária Convencional
EXPRESSO ITAMARATI S/A;8171;4;SAO JOSE DO RIO PRETO - RIBEIRAO PRETO;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8176;2;TAPIRAI - PIEDADE;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8177;2;PIEDADE - SOROCABA;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8178;2;SOROCABA - TAPIRAI;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;8180;1;CAMPINAS - BARRETOS;Rodoviária Convencional
RAPIDO D OESTE LTDA;8184;1;RIBEIRAO PRETO - MOCOCA;Rodoviária Convencional
EXPRESSO ITAMARATI S/A;8185;4;SAO JOSE DO RIO PRETO - POTIRENDABA;Semiurbana
VIAÇÃO SANTA CRUZ LTDA;8190;1;MOJI MIRIM - ITAPIRA;Rodoviária Convencional
VIAÇÃO SANTA CRUZ LTDA;8191;1;CAMPINAS - ITAPIRA;Rodoviária Convencional
TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;8192;2;SÃO PAULO(BARRA FUNDA) - ITARARE;Rodoviária Convencional
TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;8193;2;SOROCABA - ITARARE;Rodoviária Convencional
TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;8194;2;SOROCABA - ITAPEVA;Rodoviária Convencional
TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;8196;2;ITAPEVA - ITARARE;Semiurbana
TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;8197;2;SÃO PAULO(BARRA FUNDA) - ITAPEVA;Rodoviária Convencional
TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;8198;2;ITARARE - CAPAO BONITO;Rodoviária Convencional
TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;8199;2;SOROCABA - APIAI;Rodoviária Convencional
EXPRESSO ITAMARATI S/A;8200;4;JABOTICABAL - RIBEIRAO PRETO;Semiurbana
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8201;2;ITAPETININGA - SARAPUI;Semiurbana
VIAÇÃO ARIRANHA LTDA - EPP;8204;4;CANDIDO RODRIGUES - TAQUARITINGA;Rodoviária Convencional
VIAÇÃO ARIRANHA LTDA - EPP;8205;4;ARIRANHA - SANTA ADELIA;Rodoviária Convencional
PORTO DE REGISTRO TRANSPORTES LTDA;8206;5;IPORANGA - ELDORADO;Semiurbana
EMPRESA AUTO ÔNIBUS MANOEL RODRIGUES S/A;8208;3;TAQUARITUBA - OURINHOS;Rodoviária Convencional
RAPIDO LUXO CAMPINAS LTDA;8210;1;JUNDIAI - CABREUVA;Semiurbana
EMPRESA DE ÔNIBUS VILA ELVIO LTDA;8215;2;PIRATUBA - PIEDADE;Rodoviária Convencional
EMPRESA DE ÔNIBUS VILA ELVIO LTDA;8216;2;VILA ELVIO - SOROCABA;Rodoviária Convencional
EMPRESA DE ÔNIBUS VILA ELVIO LTDA;8217;2;PIEDADE - SOROCABA;Rodoviária Convencional
TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;8218;2;ITAPETININGA - ANGATUBA;Semiurbana
EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;8225;3;ANDRADINA - RIBEIRAO PRETO;Rodoviária Convencional
VIAÇÃO CIDADE AZUL E TURISMO LTDA;8226;1;LIMEIRA - CORDEIROPOLIS;Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8229;5;JACAREI - TAUBATE;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8230;5;SAO JOSE DOS CAMPOS - GUARATINGUETA;Rodoviária Convencional
