Permissionaria;Autos;TC;Denominacao_da_linha;caracteristica
VIAÇÃO PIRACICABANA S/A;9131;3;AMERICANA - ITANHAEM;Rodoviária Litorânea
JANDAIA TRANSPORTES E TURISMO LTDA;9133;3;PRESIDENTE PRUDENTE - BAIRRO BELA VISTA;Semiurbana
VIAÇÃO SÃO BENTO LTDA;9150;1;ORLANDIA - MORRO AGUDO;Rodoviária Convencional
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;9153;1;ARARAS - RIO CLARO;Rodoviária Convencional
TRANSRAPIDO SÃO FRANCISCO LTDA;9188;4;CARDOSO - SAO JOSE DO RIO PRETO;Rodoviária Convencional
VIAÇÃO COMETA S/A;9189;5;CAMPINAS - RIBEIRAO PRETO;Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;9191;3;IEPE - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
VIAÇÃO SÃO BENTO LTDA;9196;1;RIBEIRAO PRETO - SERRANA;Semiurbana
VIAÇÃO SÃO BENTO LTDA;9197;1;SAO JOAQUIM DA BARRA - IGARAPAVA;Semiurbana
VIAÇÃO SÃO BENTO LTDA;9198;1;SAO JOAQUIM DA BARRA - ITUVERAVA;Semiurbana
VIAÇÃO SÃO BENTO LTDA;9199;1;RIBEIRAO PRETO - SAO JOAQUIM DA BARRA;Semiurbana
VIAÇÃO SÃO BENTO LTDA;9200;1;RIBEIRAO PRETO - ORLANDIA;Rodoviária Convencional
VIAÇÃO SÃO BENTO LTDA;9201;1;SALES DE OLIVEIRA - ORLANDIA;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;9207;1;COTIA - PIEDADE;Semiurbana
VIAÇÃO MACIR RAMAZINI TURISMO LTDA;9226;1;VIRADOURO - PITANGUEIRAS;Rodoviária Convencional
EMPRESA DE TRANSPORTES ANDORINHA S/A;9228;3;PRESIDENTE PRUDENTE - SANTOS;Rodoviária Litorânea
AUTO VIAÇÃO BRAGANCA LTDA;9229;1;BRAGANCA PAULISTA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional
EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;9230;3;ARACATUBA - SANTOS;Rodoviária Litorânea
VIAÇÃO LUWASA LTDA;9246;4;CATANDUVA - PARAISO;Semiurbana
VIAÇÃO PIRACICABANA S/A;9249;3;SAO CARLOS - ARACATUBA;Rodoviária Convencional
RAPIDO LUXO CAMPINAS LTDA;9251;1;JUNDIAI - VARZEA PAULISTA;Semiurbana
VIAÇÃO COMETA S/A;9253;5;FRANCA - P.GRANDE(V.MIRIM);Rodoviária Litorânea
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;9254;5;SANTA BRANCA - CARAGUATATUBA;Rodoviária Litorânea
EMPRESA DE AUTO ÔNIBUS SANTA RITA LTDA;9260;4;FERNANDOPOLIS - INDIAPORA;Semiurbana
VINCO - VIAÇÃO NOIVACOLINENSE LTDA;9272;1;LARANJAL PAULISTA - PIRACICABA;Semiurbana
EMPRESA PRINCESA DO NORTE S/A;9281;3;AVARE - PIRAJU;Semiurbana
EXPRESSO ITAMARATI S/A;9289;4;ARACATUBA - BURITAMA;Semiurbana
VIAÇÃO SÃO BENTO LTDA;9290;1;BATATAIS - FRANCA;Rodoviária Convencional
VIAÇÃO SÃO BENTO LTDA;9291;1;BATATAIS - FRANCA;Semiurbana
EMPRESA PRINCESA DO NORTE S/A;9294;3;SANTA CRUZ RIO PARDO - BAURU;Semiurbana
ULTRA S/A - TRANSPORTES INTERURBANOS;9296;5;SAO PAULO(T.JABAQUARA) - GUARUJA;Rodoviária Litorânea
ULTRA S/A - TRANSPORTES INTERURBANOS;9297;5;SAO PAULO(T.JABAQUARA) - SANTOS(PONTA DA PRAIA);Rodoviária Litorânea
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;9323;5;SÃO PAULO (T.TIÊTE) - TAUBATE;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;9324;5;SÃO PAULO (T.TIÊTE) - CRUZEIRO;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;9325;5;SÃO PAULO (T.TIÊTE) - JACAREI;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;9327;5;SÃO PAULO (T.TIÊTE) - PINDAMONHANGABA;Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;9336;3;MARILIA - PRAIA GRANDE (TATICO);Rodoviária Litorânea
VIAÇÃO LIRA LTDA;9347;1;CAMPINAS - CAPIVARI;Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;9353;3;BAURU - PRAIA GRANDE(CIDADE OCIAN;Rodoviária Litorânea
TRANSPORTES E TURISMO EROLES LTDA;9363;5;FERRAZ DE VASCONCELOS - SAO SEBASTIAO(Rodoviária);Rodoviária Litorânea
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;9380;5;JAMBEIRO - CACAPAVA;Rodoviária Convencional
VIAÇÃO ATIBAIA SÃO PAULO LTDA;9384;1;ATIBAIA - JARINU;Semiurbana
VIAÇÃO ATIBAIA SÃO PAULO LTDA;9385;1;JUNDIAI - JARINU;Semiurbana
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;9388;1;LIMEIRA - ARARAS;Rodoviária Convencional
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;9389;1;ARARAS - LEME;Rodoviária Convencional
VIASOL TRANSPORTES RODOVIÁRIOS LTDA.;9390;1;PORTO FERREIRA - DESCALVADO;Rodoviária Convencional
AUREA TURISMO LTDA;9406;3;PLANALTO DO SUL - PRESIDENTE EPITACIO;Rodoviária Convencional
EMPRESA PRINCESA DO NORTE S/A;9412;3;SÃO PAULO(BARRA FUNDA) - OURINHOS;Rodoviária Convencional
VIAÇÃO COMETA S/A;9413;5;SÃO PAULO (T.TIÊTE) - CAMPINAS;Rodoviária Convencional
VIAÇÃO COMETA S/A;9414;5;SAO JOSE DO RIO PRETO - P.GRANDE(V.MIRIM);Rodoviária Litorânea
VB TRANSPORTES E TURISMO LTDA;9416;1;CAMPINAS - SÃO PAULO(AER.CONGONHAS);Rodoviária Convencional
VIAÇÃO SANTA CRUZ LTDA;9417;1;SAO BERNARDO DO CAMPO - ITAPIRA;Rodoviária Convencional
CRISTALENSE TRANSPORTES E TURISMO LTDA;9421;1;FRANCA - SAO JOAQUIM DA BARRA;Semiurbana
VIAÇÃO PIRACICABANA S/A;9422;3;MARILIA - SAO PAULO;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;9428;1;ARARAQUARA - PORTO FERREIRA;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;9429;1;ARARAQUARA - JABOTICABAL;Semiurbana
VIAÇÃO DANUBIO AZUL LTDA;9430;1;ARARAQUARA - BARRETOS;Rodoviária Convencional
TRANSPORTE COLETIVO CÉLICO EIRELI;9440;4;NIPOÃ - SAO JOSE DO RIO PRETO;Semiurbana
BREDA SOROCABA TRANSPORTES E TUR. LTDA;9462;2;SOROCABA - ILHA COMPRIDA;Rodoviária Litorânea
RAPIDO LUXO CAMPINAS LTDA;9465;1;JUNDIAI - VARZEA PAULISTA;Semiurbana
RAPIDO LUXO CAMPINAS LTDA;9466;1;JUNDIAI - VARZEA PAULISTA;Semiurbana
EMPRESA AUTO ÔNIBUS MANOEL RODRIGUES S/A;9472;3;SANTA CRUZ RIO PARDO - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
PONTUR TRANSPORTES E TURISMO LTDA;9483;2;SOROCABA - PIRACICABA;Rodoviária Convencional
EXPRESSO REGIONAL TRANSPORTES LTDA;9490;2;SOROCABA - OSASCO;Rodoviária Convencional
EMPRESA RODOVIARIA PIRACICABANA LTDA;9494;1;AMPARO - JAGUARIUNA;Semiurbana
LITORANEA TRANSPORTES COLETIVOS S/A;9495;5;UBATUBA - SAO JOSE DOS CAMPOS;Rodoviária Litorânea
VIAÇÃO LOPES LTDA;9496;3;LUCELIA - ADAMANTINA;Semiurbana
VIAÇÃO DANUBIO AZUL LTDA;9500;1;CAJURU - CASSIA DOS COQUEIROS;Rodoviária Convencional
VIAÇÃO JACAREI LTDA;9517;5;SAO JOSE DOS CAMPOS - CACAPAVA;Semiurbana
VIAÇÃO SÃO RAPHAEL LTDA;9533;4;SAO JOSE DO RIO PRETO - RIOLANDIA;Rodoviária Convencional
VIAÇÃO COMETA S/A;9534;5;EMBU - P.GRANDE(SOLEMAR);Rodoviária Litorânea
VIAÇÃO PIRACICABANA S/A;9535;3;ITANHAEM - SAO PAULO(T.JABAQUARA);Rodoviária Litorânea
TRANSPORTES E TURISMO EROLES LTDA;9537;5;MOGI DAS CRUZES - SAO SEBASTIAO;Rodoviária Litorânea
EMPRESA DE TRANSPORTES MAIRIPORA LTDA;9538;5;NAZARE PAULISTA - FRANCO DA ROCHA;Semiurbana
EMPRESA DE TRANSPORTES MAIRIPORA LTDA;9539;5;MAIRIPORA - BAIRRO PONTE ALTA;Semiurbana
AUTO ÔNIBUS SÃO JOÃO LTDA;9540;2;VOTORANTIM(terminal) - SOROCABA(Lageado);Semiurbana
VIAÇÃO COMETA S/A;9541;5;SAO BERNARDO DO CAMPO - APARECIDA;Rodoviária Litorânea
PORTO DE REGISTRO TRANSPORTES LTDA;9552;5;REGISTRO - PARIQUERA-ACU;Semiurbana
EMPRESA AUTO ÔNIBUS SÃO JORGE LTDA;9558;2;IPERO(FAZENDA IPANEMA) - SOROCABA;Semiurbana
VALLESUL TRANSPORTES E TURISMO LTDA;9562;5;PEDRO DE TOLEDO - PERUIBE;Semiurbana Litorânea
VIAÇÃO LIRA LTDA;9571;1;CAMPINAS - JUNDIAI;Rodoviária Convencional
VIAÇÃO OITO IRMÃOS LTDA;9572;5;SAO JOSE DOS CAMPOS - MONTEIRO LOBATO;Semiurbana
VIAÇÃO OITO IRMÃOS LTDA;9573;5;SAO JOSE DOS CAMPOS - BAIRRO CANELAR;Semiurbana
EXPRESSO REGIONAL TRANSPORTES LTDA;9580;2;SAO ROQUE - VARGEM GRANDE PAULISTA;Semiurbana
EXPRESSO REGIONAL TRANSPORTES LTDA;9594;2;SAO ROQUE - ITAPEVI;Semiurbana
VIAÇÃO COMETA S/A;9608;5;SAO JOSE DOS CAMPOS - P.GRANDE(V.MIRIM);Rodoviária Litorânea
RAPIDO LUXO CAMPINAS LTDA;9611;1;GUAREI - CONCHAS;Semiurbana
AUTO ÔNIBUS SÃO JOÃO LTDA;9615;2;VOTORANTIM(terminal) - SOROCABA(Lageado);Semiurbana
VIAÇÃO SÃO ROQUE LTDA;9628;2;SAO ROQUE - IBIUNA;Semiurbana
AUTO ÔNIBUS NARDELLI LTDA;9630;1;SALTO - SALTO;Semiurbana
VIAÇÃO JACAREI LTDA;9636;5;SAO JOSE DOS CAMPOS - JACAREI(PQ.MEIA LUA);Semiurbana
AUTO VIAÇÃO M.M. SOUZA TURISMO LTDA;9639;1;RAFARD - CAPIVARI;Semiurbana
GUERINO SEISCENTO TRANSPORTES S/A;9640;3;GABRIEL MONTEIRO - ARACATUBA;Semiurbana
VB TRANSPORTES E TURISMO LTDA;9644;1;CAPIVARI - PORTO FELIZ;Rodoviária Convencional
VIAÇÃO DANUBIO AZUL LTDA;9645;1;SAO JOAQUIM DA BARRA - GUAIRA;Semiurbana
AUTO ÔNIBUS SÃO JOÃO LTDA;9659;2;VOTORANTIM(terminal) - SOROCABA(Lageado);Semiurbana
AUTO ÔNIBUS SÃO JOÃO LTDA;9660;2;VOTORANTIM(terminal) - SOROCABA(Lageado);Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;9667;5;SÃO PAULO (T.TIÊTE) - SAO JOSE DOS CAMPOS;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;9668;5;SÃO PAULO (T.TIÊTE) - CACAPAVA;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;9669;5;SÃO PAULO (T.TIÊTE) - GUARATINGUETA;Rodoviária Convencional
EMPRESA RODOVIARIA PIRACICABANA LTDA;9671;1;TUIUTI - MORUNGABA;Semiurbana
PORTO DE REGISTRO TRANSPORTES LTDA;9676;5;REGISTRO - BARRA DO TURVO;Semiurbana
AUTO VIAÇÃO OURO VERDE LTDA;9689;1;AMERICANA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional
RAPIDO SUMARE LTDA;9690;1;SUMARE(CENTRO) - SÃO PAULO (T.TIÊTE);Rodoviária Convencional
VB TRANSPORTES E TURISMO LTDA;9706;1;CAPIVARI - SÃO PAULO (T.TIÊTE);Rodoviária Convencional
VIAÇÃO PARATY LTDA;9707;4;MATAO - SANTA ERNESTINA;Semiurbana
VAT VIACAO ADAMANTINA DE TRANSPORTES LTDA;9708;3;ANDRADINA - PRESIDENTE PRUDENTE;Rodoviária Convencional
VB TRANSPORTES E TURISMO LTDA;9709;1;ARTUR NOGUEIRA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;9719;5;GUARATINGUETA - POTIM;Semiurbana
VIACAO SC MIRIM GUACU LTDA;9720;1;MOGI GUACU - ESTIVA GERBI;Semiurbana
NOSSA SENHORA DE FATIMA AUTO ÔNIBUS LTDA;9721;1;BRAGANCA PAULISTA - TUIUTI;Semiurbana
NOSSA SENHORA DE FATIMA AUTO ÔNIBUS LTDA;9722;1;BRAGANCA PAULISTA - VARGEM(BAIRRO ANHUMAS);Semiurbana
NOSSA SENHORA DE FATIMA AUTO ÔNIBUS LTDA;9723;1;VARGEM - BRAGANCA PTA(Rodoviaria);Semiurbana
NOSSA SENHORA DE FATIMA AUTO ÔNIBUS LTDA;9724;1;VARGEM - BRAGANCA PAULISTA;Semiurbana
EXPRESSO INTEGRAÇÃO DO VALE LTDA - EPP;9725;3;ASSIS - Praça Florínia;Semiurbana
VIAÇÃO SÃO ROQUE LTDA;9726;2;SAO ROQUE - ALUMINIO(B.PEDAGIO);Semiurbana
EXPRESSO AMARELINHO LTDA;9727;2;CAPAO BONITO - BAIRRO SUMIDOURO;Semiurbana
VIAÇÃO MINA DO VALE TRANSPORTES E TURISMO LTDA;9728;5;JACUPIRANGA - CAJATI(VILA TATU);Semiurbana
EXPRESSO REGIONAL TRANSPORTES LTDA;9729;2;SAO ROQUE - PIR..B.JESUS(CAMP.GAIVOTA;Semiurbana
EXPRESSO DE PRATA LTDA;9730;3;MARILIA - SANTOS;Rodoviária Litorânea
VIAÇÃO SÃO JOSÉ LTDA;9731;4;SANTA ALBERTINA - JALES;Semiurbana
EXPRESSO ITAMARATI S/A;9732;4;ARACATUBA - MAJOR PRADO;Semiurbana
AGOSUZI TRANSPORTES LTDA;9734;3;BANANAL - ARAPEI;Semiurbana
VB TRANSPORTES E TURISMO LTDA;9735;1;CAMPINAS - SOROCABA;Rodoviária Convencional
RODOVIÁRIO E TURISMO SÃO JOSÉ LTDA;9736;5;LORENA - LORENA (CANAS);Semiurbana
VIAÇÃO COMETA S/A;9915;5;SOROCABA - CAPAO BONITO;Rodoviária Convencional
